,code,requested_kings_with_teams,requested_kp_with_teams,requested_double_with_teams,requested_dp_with_teams,kings,doubles,initial_kings,initial_doubles,price_range,location
Astor Crowne Plaza New Orleans French Quarter,100B,55,20,300,0,0,0,68,270,$151-165 + tax,French Quarter
Courtyard New Orleans French Quarter/Iberville,101A,10,0,46,0,0,0,9,41,$140-150 + tax,French Quarter
Four Points French Quarter,102B,15,0,60,0,0,0,14,54,$151-165 + tax,French Quarter
Homewood Suites New Orleans French Quarter,103A,0,36,0,0,0,0,32,0,$140-150 + tax,French Quarter
New Orleans Marriott,105C,100,100,549,0,49,0,180,494,$166-185 + tax,French Quarter
Royal Sonesta New Orleans,106A,50,50,50,0,73,0,90,45,$140-150 + tax,French Quarter
The Westin New Orleans,108C,25,0,125,0,0,0,22,112,$166-185 + tax,French Quarter
Wyndham French Quarter,109A,33,0,132,0,0,0,30,119,$140-150 + tax,French Quarter
Aloft New Orleans Downtown,200A,16,0,60,0,5,0,14,54,$140-150 + tax,Superdome
Holiday Inn New Orleans-Downtown Superdome,201A,25,0,125,0,0,0,22,112,$140-150 + tax,Superdome
Hyatt Regency New Orleans,202C,30,0,457,0,0,81,27,411,$166-185 + tax,Superdome
Le Pavillon Hotel,203C,49,0,44,0,17,0,44,40,$166-185 + tax,Superdome
The Troubadour,204A,13,0,55,0,0,6,12,50,$140-150 + tax,Superdome
Wyndham Garden Baronne Plaza New Orleans,205A,20,0,70,0,0,24,18,63,$140-150 + tax,Superdome
AC Hotel New Orleans French Quarter,300A,33,0,80,0,5,0,30,72,$140-150 + tax,Downtown
Courtyard New Orleans Downtown Near the French Quarter,301A,12,0,11,0,7,0,11,10,$140-150 + tax,Downtown
DoubleTree New Orleans,302B,17,0,94,0,10,0,15,85,$151-165 + tax,Downtown
Hampton Inn & Suites New Orleans Downtown (French Quarter Area),303B,16,20,72,0,20,0,32,65,$151-165 + tax,Downtown
Hilton New Orleans St. Charles Avenue,304B,25,0,50,0,9,0,22,45,$151-165 + tax,Downtown
InterContinental New Orleans,305B,113,0,150,0,66,0,102,135,$151-165 + tax,Downtown
JW Marriott New Orleans,306C,33,0,75,0,11,0,30,68,$166-185 + tax,Downtown
La Quinta Inn & Suites New Orleans Downtown,307B,25,0,50,0,10,0,22,45,$151-165 + tax,Downtown
Renaissance New Orleans Pere Marquette French Quarter Area Hotel,308B,31,0,82,0,10,0,28,74,$151-165 + tax,Downtown
Sheraton New Orleans Hotel,309C,77,100,499,0,38,0,159,449,$166-185 + tax,Downtown
Cambria Hotel New Orleans Downtown/Warehouse District,400B,24,0,78,0,0,0,22,70,$151-165 + tax,Convention Center
Courtyard New Orleans Downtown/Convention Center,401A,0,32,73,0,20,0,29,66,$140-150 + tax,Convention Center
Hilton New Orleans Riverside,404C,44,0,747,0,0,534,40,672,$166-185 + tax,Convention Center
Le Meridien New Orleans,405C,45,0,25,0,23,0,40,22,$166-185 + tax,Convention Center
Loews New Orleans Hotel,406C,0,0,75,0,0,68,0,68,$166-185 + tax,Convention Center
Renaissance New Orleans Arts Warehouse District Hotel,408C,62,0,70,0,35,27,56,63,$166-185 + tax,Convention Center
SpringHill Suites New Orleans Downtown/Convention Center,409B,0,0,68,0,0,31,0,61,$151-165 + tax,Convention Center
The Higgins Hotel New Orleans,410B,19,0,80,0,0,40,17,72,$151-165 + tax,Convention Center
